date,ts,group,score,title,content
2018/7/24,1532383200,family,5.0,Buen lugar donde comer,"Disponen de menú de día, menú de noche, puntos y raciones en carta. Además hay variedad de cervezas para elegir. Acogedor bien decorado y buena atención del personal. Muy amables. Si quieres comer o tomar unos pintxos, este es tu sitio. También ofrecen postres caseros. Precio razonable.Volveremos"
2018/7/23,1532296800,family,4.0,Buena gastrotaperia,Fuimos a esta gastrotaperia por los comentarios de otros usuarios. Pedimos varios platos a compartir y todo estaba muy bueno. Si estás por la zona es un buen local para comer o cenar.La atención de los camareros fue buena.
2018/7/21,1532124000,family,5.0,De lo mejor de Albacete,"En la mayoría de visitas que hago a Albacete acabo pasándome por este restaurante, y nunca decepciona. Gran variedad gastronómica, tanto de tapeo como platos. Incluso te hacen una paella si la pides por encargo. El local es muy acogedor y el servicio correcto. Y en cuanto al precio, muy bien para la calidad de la comida. Sin duda lo recomiendo."
2018/5/8,1525730400,friends,5.0,Muy buena gastrotapería,"Desayuno ahí normalmente, muy buen precio. Además pinchos a 1,50 y 2€ por la noche, acompañados de unas Turia entran solos👌🏼👌🏼"
2018/4/15,1523743200,couples,3.0,"Bueno quizas con carta, pero de pinchos no vuelvo","Mismo concepto que la taperia vasca anterior. A mi sinceramente no me gusta nada. Mucho frito, muchas salsas. En cambio lo poco que tienen de carta no esta mal para salir del paso."
2018/4/9,1523224800,business,4.0,Sorprendente ,"Muy buenas,Tras venir varias veces por Albacete por motivos laborales con este bar puedo decir que he encontrado un bar con calidad precio bastante aceptable.Yo en esta ocasión he realizado una cena y se puede hacer de diferentes maneras, mediante pinchos i mediante menú, yo me decanté por el menú pero en el mismo puedes elegir también como segundo tres pinchos.Personalmente encuentro el local bastante agradable y limpio así como una atentisima atención independientemente de que la comida estaba formidable.Si vais algún día por Albacete, recomiendo una visita a dicho local para degustar tanto unas buenas tapas como unas buenas cervezas o vinos.Muchas gracias por su atención y aquí podéis ver algunos platos degustados."
2018/4/7,1523052000,couples,5.0,Uno de mis sitios favoritos ,"Nos encanta este sitio. Los pinchos están muy buenos a buen precio, tienen mucha variedad. El menú diario está muy rico, con platos originales y cuidados sin que te cueste un riñón."
2018/4/1,1522533600,couples,4.0,Menús y tapas,Sitio interesante para comer o cenar tanto de menú como de tapas menús especial por 12€ el menú te permite mezclar tapas y segundo buena calidad
2018/3/5,1520204400,business,4.0,Pinchos buenos y variados,"Estilo vinatería con mucha variedad de pinchos, carta y menu tambien. Los pinchos se cogen sin pedir según te va apeteciendo y te cobran al final."
2018/3/5,1520204400,family,4.0,Mejor de lo que esperábamos!,"Entramos al salir del cine esperando encontrar un par de pinchos para cenar algo rápido, pero nos sorprendió mucho la carta. Es muy amplia y variada. También tienen una amplia variedad en cerveza. Cogimos un par de jarras de cerveza, cuatro pinchos y un cachopo (buenísimo) No recuerdo el precio pero fueron menos de 15€ por cabeza. El personal es muy amable, aunque el cachopo tardó un poco en salir.Estoy segura de que volveré a ir =)"
2018/2/18,1518908400,couples,4.0,mejor de lo esperado,"El menú de noche está genial.Comida rica y de calidad,servicio rápido y la camarera muy atenta y amable ,volveremos"
2018/2/17,1518822000,friends,5.0,"Muy buen sitio, recomendable ",El restaurante está muy bien. Los menú es una buena opción. Muy recomendable El precio  es económico y tienen muchos pinchos a elegir. Los martes los pinchos son a un euros lo cual que genial 
2017/12/9,1512774000,couples,5.0,Lo encontramos!!,"Un sitio con mucho encanto y unos pintxos increibles en un menú a un precio muy asequible, el trato del personal super agradable!nos apetecía mucho venir!!"
2017/11/27,1511737200,friends,5.0,Riquísimas tapas! ,"El servicio muy bueno y las tapas y raciones tb!!! Espárragos muy sabrosos, tapas tb (salmón, la de croqueta...), ensaladilla, cachopo y tarta de queso! Recomendable y genial de precio! 58 entre 4 con 6 cañas y dos vinos!! Repetiremos "
2017/11/16,1510786800,couples,5.0,Excelente,por la boda de  un amigo me toco pasar las vacaciones en el centro de albacete y me tropece en el lugar perfecto para comer tanto menu carta o los deliciosos pinchos. El trato escepcional y la calidad precio inmejorable.
2017/11/13,1510527600,solo,5.0,No me arrepiento de haber entrado,"Tenía que pasar noche en Albacete y no conocía nada para cenar, y callejeando me lo encontré. No podía haber acertado más. Un gran surtido de pinchos al más estilo bilbaíno con un precio muy bajo para lo que ofrecen. La carta de vino por copa es reducida pero mucho más amplia que en la mayoría de los sitios, y la bodega por botella es interesante. También tienen menú de noche a un precio muy bueno."
2017/10/15,1508018400,friends,4.0,Bastante bien,"Pedimos menú fin de semana. Presentación muy cuidad de todos los platos. El segundo era entrecot, tenía muchos nervios y estaba algo duro ademas de ser muy pequeño. El resto estaba muy rico"
2017/10/12,1507759200,friends,5.0,Todo buenisimo!,"Sorprendente, lo cuidado q estaban los platos y lo buenos q estaban. Como postre un sorbete de limon con albaca q estaba riquisimo tambien! "
2017/9/9,1504908000,friends,5.0,Apto para celíacos y buenísimo,"Es un sitio acogedor para una cena entre amigos o con la familia. Soy celíaca y el trato de los cameros fue impecable, tienen pan sin gluten y me prepararon en cocina los pinchos que elegí entre los que tienen en el mostrador (hay pinchos calientes y fríos). Además, la mayoría de las tapas que hay en su carta tienen opciones sin gluten (incluyendo el queso frito, riquísimo!). También tienen algunas opciones para vegetarianos y están abiertos a preparar opciones adicionales a las que se muestran en la carta.En resumen: muy rico, buen trato y buen precio!"
2017/9/7,1504735200,business,5.0,No se puede pedir más por ese precio!!,"Me pilló de vuelta un día de trabajo entre Madrid y Murcia, paré en Albacete a hacer unas gestiones y en el mismo centro, donde el Ayuntamieno. Lo de comer a medio dia donde no conozno no me gusta mucho, porque nunca sabes lo que te van adar, pero me llamó la ateción el menú del día. No se puede pedir más!! Ya quisiera esa calidad en sitions más caros. Primero, segundo y postre, con varias opciones a elegir: pescado, carne, buen acompañamiento, platos muy completos y bien preparados.. un acierto. Los camareros muy atentos y el servicio rapido. Una pena que no viva en Albacete, comería ahí todos los días!"
2017/8/29,1503957600,family,5.0,Nada malo que objetar,"Entramos al ver que tenían menu. Fue todo un acierto. De primero pedimos un revuelto de morcillas y pimientos con patatas, riquisimo, tambien habían otros platos como chique de verduras y gazpacho andaluz!! y de segundo había entre otros platos, merluza gratinada...tambien se podian elegir tres pinchos como plato, todos riquisiiisimos. Incluía la bebida, los postres caseros y por ultimo el cafe. Por un módico precio de 10 euros. A destacar la atención y amabilidad del personal. Un placer!!!"
2017/8/13,1502575200,solo,5.0,"Buen menú, buenísimas tapas calientes","A medio camino de vuelta a madrid tras una escapada de fin de semana a la playa,  apetecía parar a medio camino para conerDecir que ideal para 2-4 amigos, menú: carta escueta pero por 12.50€ comes platos bastante elaborados (en mi caso uno de los mejores gazpachos caseros, y un solomillo de cerdo q os dejo abajo)"
2017/7/24,1500847200,family,4.0,Tapeo Rico,Sitio agradable y con tapas ricas. Los camareros muy atentos y simpáticos. Si te encuentras por el centro y quieres hacer una parada para tomar algo ya sabes.
2017/7/20,1500501600,couples,5.0,Cena en pareja,Cenamos de picoeo medias raciones abundantes y muy bien cocinadas la camrera muy amable el servicio rápido a pesar de estar lleno no lo conocía pero sin duda volvere
2017/5/16,1494885600,solo,4.0,Tapas de calidad y economicas,Tapar originales y con mucha calidad algunas de ellas. Todas a 1 euro. Muchisimo publico lo que asegura una alta rotacion de las tapas.
2017/4/18,1492466400,friends,5.0,Repito seguro,"Fui con amigos por casualidad, pero quedamos encantados del menú y del trato del personal. Tapas muy variadas y suculentas por un precio extraordinario "
